ESCUELA,DOCENTE,authorship_pubs
CENTRO DE IDIOMAS,STEFANIA ARIAS CIFUENTES,1
CIENCIAS BÁSICAS,ROSA LEONOR ACEVEDO BARRIOS,8
CIENCIAS BÁSICAS,ALBERTO PATIÑO VANEGAS,7
CIENCIAS BÁSICAS,DIANA CAROLINA RUBIANO LABRADOR,5
CIENCIAS BÁSICAS,VILMA VIVIANA OJEDA CAICEDO,5
CIENCIAS BÁSICAS,CARLOS RAFAEL PAYARES GUEVARA,4
CIENCIAS BÁSICAS,DANILO LUSBIN ARIZA RUA,4
CIENCIAS BÁSICAS,EDISSON CHAVARRO MESA,4
CIENCIAS BÁSICAS,ENRIQUE PEREIRA BATISTA,3
CIENCIAS BÁSICAS,HERNANDO RAFAEL ALTAMAR MERCADO,3
CIENCIAS BÁSICAS,JORGE LUIS VILLALBA ACEVEDO,3
CIENCIAS BÁSICAS,JEOVANNY DE JESUS MUENTES ACEVEDO,2
CIENCIAS BÁSICAS,LENNY ALEXANDRA ROMERO PEREZ,1
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",CLAUDIA PATRICIA DIAZ MENDOZA,7
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",JORGELINA CECILIA PASQUALINO,6
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",SONIA HELENA CONTRERAS ORTIZ,6
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",ANDRES GUILLERMO MARRUGO HERNANDEZ,4
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",JAIRO FRANCISCO USECHE VIVERO,4
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",JOSE LUIS VILLA RAMIREZ,4
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",EFRAÍN ANDRÉS RODRÍGUEZ GASCA,3
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",ARGEMIRO PALENCIA DIAZ,2
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",DEYLER RAFAEL CASTILLA CABALLERO,2
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",JEFFERSON ANDRES PIEDRAHITA GONZALEZ,2
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",ALFREDO MIGUEL ABUCHAR CURI,1
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",HAROLD ALBERTO RODRIGUEZ ARIAS,1
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",HOLMAN OSPINA MATEUS,1
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",JENIFER YORIS VASQUEZ AGUILAR,1
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",JUAN GABRIEL FAJARDO CUADRO,1
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",MARY JUDITH ARIAS TAPIA,1
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",OSCAR ACEVEDO PATIÑO,1
"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO",RAFAEL DAVID MENDEZ ANILLO,1
"ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD",KAROL PATRICIA GUTIERREZ RUIZ,7
"ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD",JORGE LUIS DEL RIO CORTINA,3
"ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD",PABLO GUSTAVO SALOMO ABITBOL PINEIRO,3
"ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD",ELSY MERCEDES DOMINGUEZ DE LA OSSA,2
"ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD",JAMES MANUEL PEREZ MORON,2
"ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD",PEDRO VAZQUEZ MIRAZ,2
"ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD",ELIAS RAFAEL GENEY CASTRO,1
"ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD",TANIA ISABEL JIMENEZ CASTILLA,1
"ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD",WILLIAM ARELLANO CARTAGENA,1
ESCUELA DE TRANSFORMACIÓN DIGITAL,JUAN CARLOS MARTINEZ SANTOS,19
ESCUELA DE TRANSFORMACIÓN DIGITAL,EDWIN ALEXANDER PUERTAS DEL CASTILLO,17
ESCUELA DE TRANSFORMACIÓN DIGITAL,JAIRO ENRIQUE SERRANO CASTAÑEDA,12
ESCUELA DE TRANSFORMACIÓN DIGITAL,DAVID SIERRA PORTA,9
ESCUELA DE TRANSFORMACIÓN DIGITAL,CESAR AUGUSTO VILORIA NUÑEZ,5
ESCUELA DE TRANSFORMACIÓN DIGITAL,YADY TATIANA SOLANO CORREA,5
ESCUELA DE TRANSFORMACIÓN DIGITAL,ADOLFO BALTAR MORENO,2
ESCUELA DE TRANSFORMACIÓN DIGITAL,MARIA FERNANDA MEDINA REYES,2
ESCUELA DE TRANSFORMACIÓN DIGITAL,MIGUEL EFREN GARCES PRETTEL,2
ESCUELA DE TRANSFORMACIÓN DIGITAL,TANIA LUCIA COBOS COBOS,2
