Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID,pub_id,quartile,quartile_match,author_id_list,author_id,DOCENTE,CODIGO,ESCUELA
"Saini, P.; Osorio, J.D.; Shah, M.P.; Patel, U.N.; Nelapudi, A.; Porto-Hernández, L.A.","Saini, Prashant (58622409300); Osorio, Julian D. (55538541600); Shah, Munjal Purnkant (58278698400); Patel, Umang N. (57384683400); Nelapudi, Akhil (59963703400); Porto-Hernández, Luis Ángel (57804909800)",58622409300; 55538541600; 58278698400; 57384683400; 59963703400; 57804909800,Nature-inspired lotus-shaped fins combined with hybrid nanoparticles and metal foam for high-performance latent heat thermal energy storage,2026,International Journal of Heat and Mass Transfer,255,,127897,,,0,10.1016/j.ijheatmasstransfer.2025.127897,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017763405&doi=10.1016%2Fj.ijheatmasstransfer.2025.127897&partnerID=40&md5=34e1e8d6cc795a9630c3aa51f95f9ccc,00179310,,IJHMA,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105017763405,2-s2.0-105017763405,Q1,title,"['58622409300', '55538541600', '58278698400', '57384683400', '59963703400', '57804909800']",57804909800,LUIS ÁNGEL PORTO HERNÁNDEZ,T00020572,"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO"
"L.J.; Ramírez-Lasprilla, L.J.; D.E.; M.R.; Fortich-Pérez, D.J.","; Ramírez-Lasprilla, Laura Julieth (60241018400); Fortich-Pérez, David J. (57201036449)",60240596600; 60241018400; 60240330100; 60241160200; 57201036449,AderVax: Factors related to the acceptance or rejection of the COVID-19 vaccine in 8 cities in Colombia for the development of an intervention,2026,Vaccine: X,28,,100767,,,0,10.1016/j.jvacx.2025.100767,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024867073&doi=10.1016%2Fj.jvacx.2025.100767&partnerID=40&md5=e992977554b8ba84ea81092b78738998,25901362,,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105024867073,2-s2.0-105024867073,Q1,issn,"['60240596600', '60241018400', '60240330100', '60241160200', '57201036449']",57201036449,DAVID JAVIER FORTICH PEREZ,T00012429,"ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD"
"Serrano, J.; D Vizcaino-Rio, A.; A Donado-Canedo, M.; F García-Teheran, A.; L Tobio Florez, S.; González, E.","Serrano, Jairo E. (57220927199); D Vizcaino-Rio, Adrian (60215994100); A Donado-Canedo, Mauricio (60216100000); F García-Teheran, Andrés (60216021800); L Tobio Florez, Samuel (60215994200); González, Enrique Guerrero (7402466812)",57220927199; 60215994100; 60216100000; 60216021800; 60215994200; 7402466812,From Console to Dashboard: A Demonstration of Real-Time Visualization for Social Simulation with WellProdSim,2026,Lecture Notes in Computer Science,16031 LNAI,,,384,389,0,10.1007/978-3-032-07638-0_35,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023274545&doi=10.1007%2F978-3-032-07638-0_35&partnerID=40&md5=b81565f54c115ef592ad4a3bc6e37d9c,03029743,9789819698936; 9789819698042; 9789819698110; 9789819698905; 9783032004949; 9789819512324; 9783032026019; 9783032008909; 9783031915802; 9789819698141,,Conference paper,Final,,Scopus,2-s2.0-105023274545,2-s2.0-105023274545,Q2,issn,"['57220927199', '60215994100', '60216100000', '60216021800', '60215994200', '7402466812']",57220927199,JAIRO ENRIQUE SERRANO CASTAÑEDA,T00010915,ESCUELA DE TRANSFORMACIÓN DIGITAL
"Serrano, J.; Rivera, M.A.; González, E.","Serrano, Jairo E. (57220927199); Rivera, Miguel A. (58553550400); González, Enrique Guerrero (7402466812)",57220927199; 58553550400; 7402466812,Demonstration: WellProdSim Social Simulator Terrain Model,2026,Lecture Notes in Computer Science,16031 LNAI,,,378,383,0,10.1007/978-3-032-07638-0_34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023273177&doi=10.1007%2F978-3-032-07638-0_34&partnerID=40&md5=b2d997dbe90eb3115c41d68787d460d5,03029743,9789819698936; 9789819698042; 9789819698110; 9789819698905; 9783032004949; 9789819512324; 9783032026019; 9783032008909; 9783031915802; 9789819698141,,Conference paper,Final,,Scopus,2-s2.0-105023273177,2-s2.0-105023273177,Q2,issn,"['57220927199', '58553550400', '7402466812']",57220927199,JAIRO ENRIQUE SERRANO CASTAÑEDA,T00010915,ESCUELA DE TRANSFORMACIÓN DIGITAL
"Rico-Alvariño, A.; Taboada, M.; Mendoza, L.; Montes, N.; Martinez-Santos, J.C.","Rico-Alvariño, Alberto (54929851700); Taboada, Michael (60168334100); Mendoza, Leonardo (60168263700); Montes, Neyan (60171542800); Martinez-Santos, Juan Carlos (26325154200)",54929851700; 60168334100; 60168263700; 60171542800; 26325154200,VACS: A Modular Software System for Vehicular Access Control,2026,Communications in Computer and Information Science,2702 CCIS,,,222,232,0,10.1007/978-3-032-08206-0_19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020807503&doi=10.1007%2F978-3-032-08206-0_19&partnerID=40&md5=dfc4e1f4e0f323d90e084a2fc644965d,18650929,9789819671748; 9789819664610; 9783032026743; 9783032008831; 9783032026712; 9789819671779; 9783031949425; 9789819666874; 9783031936968; 9783031941207,,Conference paper,Final,,Scopus,2-s2.0-105020807503,2-s2.0-105020807503,Q4,issn,"['54929851700', '60168334100', '60168263700', '60171542800', '26325154200']",26325154200,JUAN CARLOS MARTINEZ SANTOS,T00000254,ESCUELA DE TRANSFORMACIÓN DIGITAL
"Tovar, A.M.; Hernández, C.V.; Martinez-Santos, J.C.; Puertas, E.","Tovar, Andrea Menco (59500271400); Hernández, Caleb Villalba (60171513900); Martinez-Santos, Juan Carlos (26325154200); Puertas, Edwin (57202285682)",59500271400; 60171513900; 26325154200; 57202285682,"SAPSAI – System for Acquisition, Preprocessing, and Storage of Agricultural Images",2026,Communications in Computer and Information Science,2702 CCIS,,,327,338,0,10.1007/978-3-032-08206-0_28,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020787948&doi=10.1007%2F978-3-032-08206-0_28&partnerID=40&md5=0ea3899974ee8627d9e32eb5f3cd4c28,18650929,9789819671748; 9789819664610; 9783032026743; 9783032008831; 9783032026712; 9789819671779; 9783031949425; 9789819666874; 9783031936968; 9783031941207,,Conference paper,Final,,Scopus,2-s2.0-105020787948,2-s2.0-105020787948,Q4,issn,"['59500271400', '60171513900', '26325154200', '57202285682']",26325154200,JUAN CARLOS MARTINEZ SANTOS,T00000254,ESCUELA DE TRANSFORMACIÓN DIGITAL
"Tovar, A.M.; Hernández, C.V.; Martinez-Santos, J.C.; Puertas, E.","Tovar, Andrea Menco (59500271400); Hernández, Caleb Villalba (60171513900); Martinez-Santos, Juan Carlos (26325154200); Puertas, Edwin (57202285682)",59500271400; 60171513900; 26325154200; 57202285682,"SAPSAI – System for Acquisition, Preprocessing, and Storage of Agricultural Images",2026,Communications in Computer and Information Science,2702 CCIS,,,327,338,0,10.1007/978-3-032-08206-0_28,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020787948&doi=10.1007%2F978-3-032-08206-0_28&partnerID=40&md5=0ea3899974ee8627d9e32eb5f3cd4c28,18650929,9789819671748; 9789819664610; 9783032026743; 9783032008831; 9783032026712; 9789819671779; 9783031949425; 9789819666874; 9783031936968; 9783031941207,,Conference paper,Final,,Scopus,2-s2.0-105020787948,2-s2.0-105020787948,Q4,issn,"['59500271400', '60171513900', '26325154200', '57202285682']",57202285682,EDWIN ALEXANDER PUERTAS DEL CASTILLO,T00008436,ESCUELA DE TRANSFORMACIÓN DIGITAL
"Peña Rodríguez, L.M.; Ligardo Orozco, G.S.; Serpa Pereira, A.A.; Villa, J.L.; Duque, J.","Peña Rodríguez, Linda Marcela (60170646800); Ligardo Orozco, Gabriel Segundo (60171318000); Serpa Pereira, Ariel Andrés (60171094500); Villa, J. L. (7005142049); Duque, Jorge Eliecer (57205658483)",60170646800; 60171318000; 60171094500; 7005142049; 57205658483,Intelligent Real-Time Power Quality Monitoring System,2026,Communications in Computer and Information Science,2702 CCIS,,,233,244,0,10.1007/978-3-032-08206-0_20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020779857&doi=10.1007%2F978-3-032-08206-0_20&partnerID=40&md5=bf33d71736df5cd2df47e5eb461cdbe3,18650929,9789819671748; 9789819664610; 9783032026743; 9783032008831; 9783032026712; 9789819671779; 9783031949425; 9789819666874; 9783031936968; 9783031941207,,Conference paper,Final,,Scopus,2-s2.0-105020779857,2-s2.0-105020779857,Q4,issn,"['60170646800', '60171318000', '60171094500', '7005142049', '57205658483']",7005142049,JOSE LUIS VILLA RAMIREZ,T00000068,"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO"
"Peña Rodríguez, L.M.; Ligardo Orozco, G.S.; Serpa Pereira, A.A.; Villa, J.L.; Duque, J.","Peña Rodríguez, Linda Marcela (60170646800); Ligardo Orozco, Gabriel Segundo (60171318000); Serpa Pereira, Ariel Andrés (60171094500); Villa, J. L. (7005142049); Duque, Jorge Eliecer (57205658483)",60170646800; 60171318000; 60171094500; 7005142049; 57205658483,Intelligent Real-Time Power Quality Monitoring System,2026,Communications in Computer and Information Science,2702 CCIS,,,233,244,0,10.1007/978-3-032-08206-0_20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020779857&doi=10.1007%2F978-3-032-08206-0_20&partnerID=40&md5=bf33d71736df5cd2df47e5eb461cdbe3,18650929,9789819671748; 9789819664610; 9783032026743; 9783032008831; 9783032026712; 9789819671779; 9783031949425; 9789819666874; 9783031936968; 9783031941207,,Conference paper,Final,,Scopus,2-s2.0-105020779857,2-s2.0-105020779857,Q4,issn,"['60170646800', '60171318000', '60171094500', '7005142049', '57205658483']",57205658483,JORGE ELIECER DUQUE PARDO,T00000020,"ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO"
"Rico-Alvariño, A.; Taboada, M.; Mendoza, L.; Martinez-Santos, J.C.","Rico-Alvariño, Alberto (54929851700); Taboada, Michael (60168334100); Mendoza, Leonardo (60168263700); Martinez-Santos, Juan Carlos (26325154200)",54929851700; 60168334100; 60168263700; 26325154200,An Optimized Approach for Automatic License Plate Recognition in Open-Access Environments,2026,Communications in Computer and Information Science,2701 CCIS,,,223,233,0,10.1007/978-3-032-08203-9_19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020672925&doi=10.1007%2F978-3-032-08203-9_19&partnerID=40&md5=3102f1826f86f264972f1a36be5b0ad0,18650929,9789819671748; 9789819664610; 9783032026743; 9783032008831; 9783032026712; 9789819671779; 9783031949425; 9789819666874; 9783031936968; 9783031941207,,Conference paper,Final,,Scopus,2-s2.0-105020672925,2-s2.0-105020672925,Q4,issn,"['54929851700', '60168334100', '60168263700', '26325154200']",26325154200,JUAN CARLOS MARTINEZ SANTOS,T00000254,ESCUELA DE TRANSFORMACIÓN DIGITAL
