pub_id,Year,Title,Source,ISSN,DOI,EID,quartile,escuelas,docentes
2-s2.0-0242577256,2003,Modeling and control of a water treatment plant,"Proceedings of the IEEE International Conference on Systems, Man and Cybernetics",08843627,,2-s2.0-0242577256,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JOSE LUIS VILLA RAMIREZ']
2-s2.0-0242657944,2003,MLD control of hybrid systems: Application to the three-tank benchmark problem,"Proceedings of the IEEE International Conference on Systems, Man and Cybernetics",08843627,,2-s2.0-0242657944,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JOSE LUIS VILLA RAMIREZ']
2-s2.0-0344235175,2003,Supervisory Control Oriented Modeling of an Experimental Manufacturing Cell,IEEE International Symposium on Intelligent Control - Proceedings,,10.1109/isic.2003.1254666,2-s2.0-0344235175,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JOSE LUIS VILLA RAMIREZ']
2-s2.0-105000508887,2025,Classification of auditory ERPs for ADHD detection in children,Journal of Medical Engineering and Technology,03091902,10.1080/03091902.2025.2477506,2-s2.0-105000508887,Q3,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO', 'ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD']","['KAROL PATRICIA GUTIERREZ RUIZ', 'SONIA HELENA CONTRERAS ORTIZ']"
2-s2.0-105001070961,2025,Early Detection of Neurodevelopmental Disorders as a Strategy for Educational Inclusion in Early Childhood Education,"International Journal of Disability, Development and Education",1034912X,10.1080/1034912X.2024.2370799,2-s2.0-105001070961,Q1,"['ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD']",['KAROL PATRICIA GUTIERREZ RUIZ']
2-s2.0-105001331400,2025,Predicting Atmospheric Dispersion of Industrial Chemicals Using Machine Learning Approaches,IEEE Access,,10.1109/ACCESS.2025.3551259,2-s2.0-105001331400,Q1,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['CESAR AUGUSTO VILORIA NUÑEZ']
2-s2.0-105001804137,2025,Vibration analysis of functionally graded epoxy/graphene composite plates using the Boundary Element Method and new micromechanical model,Mechanics of Advanced Materials and Structures,15376494,10.1080/15376494.2024.2357264,2-s2.0-105001804137,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JAIRO FRANCISCO USECHE VIVERO']
2-s2.0-105002153102,2025,Phase feedback fringe projection profilometry for shiny objects,Optics and Lasers in Engineering,01438166,10.1016/j.optlaseng.2025.109013,2-s2.0-105002153102,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['ANDRES GUILLERMO MARRUGO HERNANDEZ']
2-s2.0-105002570840,2025,Beyond profit: the role of Colombian business leaders in transforming business and building sustainable peace,Sinergie,03935108,10.7433/s126.2025.10,2-s2.0-105002570840,Q3,"['ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD']",['JAMES MANUEL PEREZ MORON']
2-s2.0-105002746333,2025,Guidance for generative AI in education and research. A critical review; Guía para el uso de IA generativa en educación e investigación. Una reseña crítica,Educacion Matematica,01878298,10.24844/EM3701.09,2-s2.0-105002746333,Q3,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['MIGUEL EFREN GARCES PRETTEL']
2-s2.0-105003391758,2025,"STEP-NC in additive manufacturing: a comprehensive review, architecture, and data model proposal",International Journal of Advanced Manufacturing Technology,02683768,10.1007/s00170-025-15290-8,2-s2.0-105003391758,Q1,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['EFRAÍN ANDRÉS RODRÍGUEZ GASCA']
2-s2.0-105003811483,2025,"Microbiological analysis of cigarette butts and cigarette butt fibers on a tourist beach in Cartagena, Colombia",Scientific Reports,,10.1038/s41598-025-91488-w,2-s2.0-105003811483,Q1,"['CIENCIAS BÁSICAS', 'ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']","['CLAUDIA PATRICIA DIAZ MENDOZA', 'ROSA LEONOR ACEVEDO BARRIOS']"
2-s2.0-105004062939,2025,A computer vision system for detecting motorcycle violations in pedestrian zones,Multimedia Tools and Applications,13807501,10.1007/s11042-024-19356-9,2-s2.0-105004062939,Q1,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],"['EDWIN ALEXANDER PUERTAS DEL CASTILLO', 'JUAN CARLOS MARTINEZ SANTOS']"
2-s2.0-105004180695,2025,Robot swarm aggregation using an improved Beeclust method,International Journal of Intelligent Robotics and Applications,23665971,10.1007/s41315-025-00442-6,2-s2.0-105004180695,Q3,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['OSCAR ACEVEDO PATIÑO']
2-s2.0-105004284471,2025,Pursuing Innovation: Exploring the Relationship Between Museum Size and Creative Possibilities,International Journal of the Inclusive Museum,18352014,10.18848/1835-2014/CGP/v18i02/125-147,2-s2.0-105004284471,Q2,"['ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD']",['JORGE LUIS DEL RIO CORTINA']
