"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Molecular Sequence Numbers","Chemicals/CAS","Tradenames","Manufacturers","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Gonzalez-Sierra M.A.; Arnedo R.; Puertas E.; Martinez-Santos J.C.","Gonzalez-Sierra, Mauro A. (58803522300); Arnedo, Rafael (57221226110); Puertas, Edwin (57202285682); Martinez-Santos, Juan Carlos (26325154200)","58803522300; 57221226110; 57202285682; 26325154200","Feature Selection for Forecasting of Energy Spot Price in the Colombian Market","2024","IEEE Andescon, ANDESCON 2024 - Proceedings","","","","","","0","10.1109/ANDESCON61840.2024.10755699","https://www.scopus.com/pages/publications/85211948944?origin=resultslist","Universidad Tecnologíca de Bolívar, Facultad de Ingeniería, Cartagena, Bolivar, Colombia","Gonzalez-Sierra M.A., Universidad Tecnologíca de Bolívar, Facultad de Ingeniería, Cartagena, Bolivar, Colombia; Arnedo R., Universidad Tecnologíca de Bolívar, Facultad de Ingeniería, Cartagena, Bolivar, Colombia; Puertas E., Universidad Tecnologíca de Bolívar, Facultad de Ingeniería, Cartagena, Bolivar, Colombia; Martinez-Santos J.C., Universidad Tecnologíca de Bolívar, Facultad de Ingeniería, Cartagena, Bolivar, Colombia","","","","","","979-835035528-4","","Conference paper","Final","","Scopus","2-s2.0-85211948944"
"Martinez E.; Cuadrado J.; Martinez-Santos J.C.; Puertas E.","Martinez, Elizabeth (58459662800); Cuadrado, Juan (57422728000); Martinez-Santos, Juan Carlos (26325154200); Puertas, Edwin (57202285682)","58459662800; 57422728000; 26325154200; 57202285682","Automated Detection of Depression and Anxiety Using Lexical and Phonestheme Features in Spanish Texts","2024","CEUR Workshop Proceedings","3756","","","","","1","","https://www.scopus.com/pages/publications/85204387145?origin=resultslist","Universidad Tecnologica de Bolivar, School of Engineering, Cartagena de Indias, 130010, Colombia","Martinez E., Universidad Tecnologica de Bolivar, School of Engineering, Cartagena de Indias, 130010, Colombia; Cuadrado J., Universidad Tecnologica de Bolivar, School of Engineering, Cartagena de Indias, 130010, Colombia; Martinez-Santos J.C., Universidad Tecnologica de Bolivar, School of Engineering, Cartagena de Indias, 130010, Colombia; Puertas E., Universidad Tecnologica de Bolivar, School of Engineering, Cartagena de Indias, 130010, Colombia","","","","","16130073","","","Conference paper","Final","","Scopus","2-s2.0-85204387145"
"Medina-Reyes M.F.; Fajardo-Cuadro J.G.; Martínez-Santos J.C.","Medina-Reyes, María Fernanda (57221229836); Fajardo-Cuadro, Juan Gabriel (56581610900); Martínez-Santos, Juan Carlos (26325154200)","57221229836; 56581610900; 26325154200","DRIVING THE DEVELOPMENT OF ENERGY COMMUNITIES IN COLOMBIA: CHALLENGES AND OPPORTUNITIES FOR A DECENTRALIZED ENERGY TRANSITION; [ESTÍMULO AO DESENVOLVIMENTO DE COMUNIDADES ENERGÉTICAS NA COLÔMBIA: DESAFIOS E OPORTUNIDADES PARA UMA TRANSIÇÃO ENERGÉTICA DESCENTRALIZADA]; [IMPULSANDO COMUNIDADES ENERGÉTICAS EN COLOMBIA: RETOS Y OPORTUNIDADES PARA UNA TRANSICIÓN ENERGÉTICA DESCENTRALIZADA]","2025","Habitat Sustentable","15","1","","10","19","1","10.22320/07190700.2025.15.01.01","https://www.scopus.com/pages/publications/105010266217?origin=resultslist","Escuela de Transformación Digital, Universidad Tecnológica de Bolívar, Cartagena de Indias, Colombia; Escuela de Ingeniería y Arquitectura, Universidad Tecnológica de Bolívar, Cartagena de Indias, Colombia","Medina-Reyes M.F., Escuela de Transformación Digital, Universidad Tecnológica de Bolívar, Cartagena de Indias, Colombia; Fajardo-Cuadro J.G., Escuela de Ingeniería y Arquitectura, Universidad Tecnológica de Bolívar, Cartagena de Indias, Colombia; Martínez-Santos J.C., Escuela de Transformación Digital, Universidad Tecnológica de Bolívar, Cartagena de Indias, Colombia","","","","","07190700","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105010266217"
"Cadavid J.; Patiño-Ruiz D.; Saba M.; Coronado-Hernández O.E.; Méndez-Anillo R.D.; Martínez-Amariz A.","Cadavid, Juan (60539564100); Patiño-Ruiz, David (57204173695); Saba, Manuel (57200521421); Coronado-Hernández, Oscar E. (57193337460); Méndez-Anillo, Rafael D. (57903699900); Martínez-Amariz, Alejandro (57205119600)","60539564100; 57204173695; 57200521421; 57193337460; 57903699900; 57205119600","Energy Integration and Valorization of Surplus Electricity Through Alkaline Water Electrolysis Within a Self-Generation Scheme Using Gas Turbogenerators","2026","Sci","8","3","62","","","0","10.3390/sci8030062","https://www.scopus.com/pages/publications/105034105140?origin=resultslist","Facultad de Ingenierías y Tecnologías, Instituto de Investigación Xerira, Universidad de Santander, Calle 70 No. 55-210, Bucaramanga, 680002, Colombia; Civil Engineering Department, Universidad de Cartagena, Calle 30 # 48-152, Cartagena, 130001, Colombia; Instituto de Hidráulica y Saneamiento Ambiental, Universidad de Cartagena, Calle 30 # 48-152, Cartagena, 130001, Colombia; Escuela de Ingeniería, Arquitectura & Diseño, Universidad Tecnológica de Bolívar, Cra. 21 #25-92, Cartagena, 131001, Colombia","Cadavid J., Facultad de Ingenierías y Tecnologías, Instituto de Investigación Xerira, Universidad de Santander, Calle 70 No. 55-210, Bucaramanga, 680002, Colombia; Patiño-Ruiz D., Facultad de Ingenierías y Tecnologías, Instituto de Investigación Xerira, Universidad de Santander, Calle 70 No. 55-210, Bucaramanga, 680002, Colombia; Saba M., Civil Engineering Department, Universidad de Cartagena, Calle 30 # 48-152, Cartagena, 130001, Colombia; Coronado-Hernández O.E., Instituto de Hidráulica y Saneamiento Ambiental, Universidad de Cartagena, Calle 30 # 48-152, Cartagena, 130001, Colombia; Méndez-Anillo R.D., Escuela de Ingeniería, Arquitectura & Diseño, Universidad Tecnológica de Bolívar, Cra. 21 #25-92, Cartagena, 131001, Colombia; Martínez-Amariz A., Facultad de Ingenierías y Tecnologías, Instituto de Investigación Xerira, Universidad de Santander, Calle 70 No. 55-210, Bucaramanga, 680002, Colombia","","","","","24134155","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105034105140"
"Puello-Mendez J.; Pasqualino J.C.; Leon-Mendez G.; Osorio-Herrera S.; Cuesta-Peña M.; Lambis-Miranda H.A.","Puello-Mendez, Juliana (55305485400); Pasqualino, Jorgelina C. (14622047600); Leon-Mendez, Glicerio (57063498800); Osorio-Herrera, Shirley (57218893280); Cuesta-Peña, Miguel (60190905500); Lambis-Miranda, Henry A. (57194689395)","55305485400; 14622047600; 57063498800; 57218893280; 60190905500; 57194689395","A Study on the Impact of Temperature Variations on the Pyrolysis of Corn-Cob Waste (Zea Mays) for Bioenergy Production","2025","Chemical Engineering Transactions ","119","","","505","510","0","10.3303/CET25119085","https://www.scopus.com/pages/publications/105021543213?origin=resultslist","GICI Research Group, Chemical Engineering Department, Universidad de San Buenaventura Cartagena, Diag. 32 # 30-966, Cartagena, Colombia; GISAH Research Group, Environmental Engineering Program, Universidad Tecnológica de Bolívar, Campus Tecnológico, km 1 vía Turbaco Cartagena, Cartagena, Colombia; CIPTEC Research Group, Fundación Universitaria Tecnológico Comfenalco, Cartagena, Colombia; Processes and Systems program, Fundación Universitaria Tecnológico Comfenalco, Cartagena, Colombia; Processes and Systems program, CIPTEC Research Group, Fundación Universitaria Tecnológico Comfenalco, Cartagena, Colombia","Puello-Mendez J., GICI Research Group, Chemical Engineering Department, Universidad de San Buenaventura Cartagena, Diag. 32 # 30-966, Cartagena, Colombia; Pasqualino J.C., GISAH Research Group, Environmental Engineering Program, Universidad Tecnológica de Bolívar, Campus Tecnológico, km 1 vía Turbaco Cartagena, Cartagena, Colombia; Leon-Mendez G., CIPTEC Research Group, Fundación Universitaria Tecnológico Comfenalco, Cartagena, Colombia; Osorio-Herrera S., Processes and Systems program, Fundación Universitaria Tecnológico Comfenalco, Cartagena, Colombia; Cuesta-Peña M., Processes and Systems program, Fundación Universitaria Tecnológico Comfenalco, Cartagena, Colombia; Lambis-Miranda H.A., Processes and Systems program, CIPTEC Research Group, Fundación Universitaria Tecnológico Comfenalco, Cartagena, Colombia","","","","","22839216","","","Article","Final","","Scopus","2-s2.0-105021543213"
"Hernandez-Fernandez J.; Herrera Zabala J.E.; Marquez E.","Hernandez-Fernandez, Joaquin (57210432772); Herrera Zabala, Juan Esteban (59387631800); Marquez, Edgar (36800050600)","57210432772; 59387631800; 36800050600","Applied Investigation of Methyl, Ethyl, Propyl, and Butyl Mercaptan as Potential Poisons in the Gas Phase Polymerization Reaction of Propylene","2024","Polymers","16","20","2851","","","2","10.3390/polym16202851","https://www.scopus.com/pages/publications/85207660911?origin=resultslist","Chemistry Program, Department of Natural and Exact Sciences, San Pablo Campus, University of Cartagena, Cartagena, 131001, Colombia; Chemical Engineering Program, School of Engineering, Universidad Tecnologica de Bolivar, Parque Industrial y Tecnológico Carlos Vélez Pombo, Km 1 Vía Turbaco, Turbaco, 130001, Colombia; Department of Natural and Exact Science, Universidad de la Costa, Barranquilla, 080002, Colombia; Grupo de Investigación en Ciencias e Ingeniería, Chemistry Program, Department of Natural and Exact Sciences, San Pablo Campus, University of Cartagena, CECOPAT&A, Cartagena, 131001, Colombia; Grupo de Investigaciones en Química y Biología, Departamento de Química Y Biología, Facultad de CienciasBásicas, Universidad del Norte, Carrera 51B, Km 5, Vía Puerto Colombia, Barranquilla, 081007, Colombia","Hernandez-Fernandez J., Chemistry Program, Department of Natural and Exact Sciences, San Pablo Campus, University of Cartagena, Cartagena, 131001, Colombia, Chemical Engineering Program, School of Engineering, Universidad Tecnologica de Bolivar, Parque Industrial y Tecnológico Carlos Vélez Pombo, Km 1 Vía Turbaco, Turbaco, 130001, Colombia, Department of Natural and Exact Science, Universidad de la Costa, Barranquilla, 080002, Colombia, Grupo de Investigación en Ciencias e Ingeniería, Chemistry Program, Department of Natural and Exact Sciences, San Pablo Campus, University of Cartagena, CECOPAT&A, Cartagena, 131001, Colombia; Herrera Zabala J.E., Grupo de Investigación en Ciencias e Ingeniería, Chemistry Program, Department of Natural and Exact Sciences, San Pablo Campus, University of Cartagena, CECOPAT&A, Cartagena, 131001, Colombia; Marquez E., Grupo de Investigaciones en Química y Biología, Departamento de Química Y Biología, Facultad de CienciasBásicas, Universidad del Norte, Carrera 51B, Km 5, Vía Puerto Colombia, Barranquilla, 081007, Colombia","","","","","20734360","","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85207660911"
"Ibáñez D.B.; Caro-Castaño L.; Prettel M.G.; Cabrera J.A.; Clavellino A.M.; Saldaña S.V.; Montes Y.S.","Ibáñez, Daniel Barredo (56925486000); Caro-Castaño, Lucía (57191170589); Prettel, Miguel Garcés (57193012270); Cabrera, Jesús Arroyave (57193072399); Clavellino, Ana Merchán (60551859000); Saldaña, Silvia Vega (60552005300); Montes, Yanin Santoya (60552159500)","56925486000; 57191170589; 57193012270; 57193072399; 60551859000; 60552005300; 60552159500","Predictive models of suicidal ideation in Spanish children: the impact of online media usage (lurkers, sharers, and interactors)","2026","Media International Australia","199","1 Feature topic: uncovering youth-driven digital practices in a fluid and adaptive world","","31","52","0","10.1177/1329878X261434608","https://www.scopus.com/pages/publications/105034590431?origin=resultslist","Universidad de Sevilla, Spain; Universidad de Cádiz, Spain; Universidad Tecnológica de Bolívar, Colombia; Universidad del Norte, Colombia; Universidad Simón Bolívar, Colombia","Ibáñez D.B., Universidad de Sevilla, Spain; Caro-Castaño L., Universidad de Cádiz, Spain; Prettel M.G., Universidad Tecnológica de Bolívar, Colombia; Cabrera J.A., Universidad del Norte, Colombia; Clavellino A.M., Universidad de Cádiz, Spain; Saldaña S.V., Universidad de Cádiz, Spain; Montes Y.S., Universidad Simón Bolívar, Colombia","","","","","1329878X","","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-105034590431"
"Rubio-León D.C.; Cano-Sierra L.; Reyes-Rivera M.-J.; Forero-García S.L.; García-Padilla D.; Abitbol P.; López-López W.","Rubio-León, Diana Carolina (56491243500); Cano-Sierra, Laura (59360499800); Reyes-Rivera, María-Juliana (59361500800); Forero-García, Sara Lucia (59360833800); García-Padilla, Dennys (58145290800); Abitbol, Pablo (58145499200); López-López, Wilson (7004217890)","56491243500; 59360499800; 59361500800; 59360833800; 58145290800; 58145499200; 7004217890","“The professionals weren’t from here”: provision of mental health services in the context of the Colombian armed conflict","2025","Archives of Public Health","83","1","123","","","3","10.1186/s13690-025-01561-z","https://www.scopus.com/pages/publications/105004426668?origin=resultslist","Psychology and Health Research Group, School of Psychology, Pontificia Universidad Javeriana, Bogotá, Colombia; Social Ties and Cultures of Peace Research Group, School of Psychology, Pontificia Universidad Javeriana, Bogotá, Colombia; Regional Group of Historic Memory, Universidad Tecnológica de Bolívar, Cartagena, Colombia","Rubio-León D.C., Psychology and Health Research Group, School of Psychology, Pontificia Universidad Javeriana, Bogotá, Colombia; Cano-Sierra L., Social Ties and Cultures of Peace Research Group, School of Psychology, Pontificia Universidad Javeriana, Bogotá, Colombia; Reyes-Rivera M.-J., Social Ties and Cultures of Peace Research Group, School of Psychology, Pontificia Universidad Javeriana, Bogotá, Colombia; Forero-García S.L., Social Ties and Cultures of Peace Research Group, School of Psychology, Pontificia Universidad Javeriana, Bogotá, Colombia; García-Padilla D., Psychology and Health Research Group, School of Psychology, Pontificia Universidad Javeriana, Bogotá, Colombia; Abitbol P., Regional Group of Historic Memory, Universidad Tecnológica de Bolívar, Cartagena, Colombia; López-López W., Social Ties and Cultures of Peace Research Group, School of Psychology, Pontificia Universidad Javeriana, Bogotá, Colombia","","","","","07787367","","APHEE","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105004426668"
"Marrugo A.G.","Marrugo, Andres G. (24329839300)","24329839300","Navigating the waters of academic publishing: Insights from a graduate writing course","2023","Transactions on Energy Systems and Engineering Applications","4","2","603","","","0","10.32397/tesea.vol4.n2.603","https://www.scopus.com/pages/publications/85181484034?origin=resultslist","Facultad de ingeniería, Universidad Tecnológica de Bolívar, Cartagena, Colombia","Marrugo A.G., Facultad de ingeniería, Universidad Tecnológica de Bolívar, Cartagena, Colombia","","","","","27450120","","","Editorial","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85181484034"
"Amaya D.A.G.; Castañeda J.E.S.; Martinez-Santos J.C.; Puertas E.","Amaya, Diego Alberto Guevara (60146141700); Castañeda, Jairo Enrique Serrano (57220927199); Martinez-Santos, Juan C. (26325154200); Puertas, Edwin (57202285682)","60146141700; 57220927199; 26325154200; 57202285682","CEDNAV–UTB: Efficient Image Retrieval for Arguments with CLIP","2025","CEUR Workshop Proceedings","4038","","","4601","4609","1","","https://www.scopus.com/pages/publications/105019045699?origin=resultslist","Naval Technological Development Center, Colombian Navy, Cartagena, Colombia; School of Digital Transformation, Universidad Tecnológica de Bolívar, Cartagena, Colombia","Amaya D.A.G., Naval Technological Development Center, Colombian Navy, Cartagena, Colombia; Castañeda J.E.S., School of Digital Transformation, Universidad Tecnológica de Bolívar, Cartagena, Colombia; Martinez-Santos J.C., School of Digital Transformation, Universidad Tecnológica de Bolívar, Cartagena, Colombia; Puertas E., School of Digital Transformation, Universidad Tecnológica de Bolívar, Cartagena, Colombia","","","","","16130073","","","Conference paper","Final","","Scopus","2-s2.0-105019045699"
