"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Saini, P.; Osorio, J.D.; Shah, M.P.; Patel, U.N.; Nelapudi, A.; Porto-Hernández, L.A.","Saini, Prashant (58622409300); Osorio, Julian D. (55538541600); Shah, Munjal Purnkant (58278698400); Patel, Umang N. (57384683400); Nelapudi, Akhil (59963703400); Porto-Hernández, Luis Ángel (57804909800)","58622409300; 55538541600; 58278698400; 57384683400; 59963703400; 57804909800","Nature-inspired lotus-shaped fins combined with hybrid nanoparticles and metal foam for high-performance latent heat thermal energy storage","2026","International Journal of Heat and Mass Transfer","255","","127897","","","0","0","10.1016/j.ijheatmasstransfer.2025.127897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017763405&doi=10.1016%2Fj.ijheatmasstransfer.2025.127897&partnerID=40&md5=34e1e8d6cc795a9630c3aa51f95f9ccc","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105017763405"
"Tobar-Subía-Contento, L.M.; Vargas, R.; Romero, L.A.; Contreras-Ortiz, S.H.","Tobar-Subía-Contento, Luz M. (57219781461); Vargas, Raúl (57117284600); Romero, Lenny A. (36142156300); Contreras-Ortiz, Sonia H. (57210822856)","57219781461; 57117284600; 36142156300; 57210822856","A Low Power Non-invasive Wrist-Based Approach for Glucose Monitoring","2026","Communications in Computer and Information Science","2392 CCIS","","","137","148","0","0","10.1007/978-3-031-98287-3_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016249780&doi=10.1007%2F978-3-031-98287-3_10&partnerID=40&md5=e7e3ffa044ce79e1c9f2aa5ef8cfb96a","Conference paper","Final","","Scopus","2-s2.0-105016249780"
"Leal, M.A.; Tovar Rodríguez, D.; De Pablo, M.A.; Bonilla, M.A.; Bolaños, J.; Ruíz, E.; Sánchez, J.; Buitrago, J.; Leone, G.; Tchegliakova, N.; Molina, A.; Martín, J.S.; Chacón, Z.; Abrevaya, X.; Vélez, F.; Torres, A.; Reyes, R.; Cancino-Escalante, G.; Acevedo-Barrios, R.","Leal, Maria Angélica (58310191500); Tovar Rodríguez, David F. (58310000000); De Pablo, Miguel Ángel (7003652519); Bonilla, M. A. (60054445900); Bolaños, J. (58602787700); Ruíz, E. (59476576300); Sánchez, J. (59158501400); Buitrago, Jeiner Y. (57223365087); Leone, Giovanni (56119288800); Tchegliakova, Nadejda (16640475100); Molina, Antonio (56817944000); Martín, J. San (60053814400); Chacón, Zoraida (56116389500); Abrevaya, X. C. (23102245500); Vélez, F. (60053972400); Torres, A. (60054759300); Reyes, R. (60053972500); Cancino-Escalante, Giovanni Orlando (55102731600); Acevedo-Barrios, R. L. (56674579200)","58310191500; 58310000000; 7003652519; 60054445900; 58602787700; 59476576300; 59158501400; 57223365087; 56119288800; 16640475100; 56817944000; 60053814400; 56116389500; 23102245500; 60053972400; 60054759300; 60053972500; 55102731600; 56674579200","Biogeochemical study of the periglacial slopes of the Nevado del Ruíz volcano (Colombia) as a terrestrial analog of Mars","2026","Icarus","443","","116783","","","0","0","10.1016/j.icarus.2025.116783","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013662781&doi=10.1016%2Fj.icarus.2025.116783&partnerID=40&md5=2dbb914eab398a1fa3e80239f6ac0af7","Article","Final","","Scopus","2-s2.0-105013662781"
"Castilla-Caballero, D.; Martínez-Castro, V.; Colina-Márquez, J.; Machuca-Martínez, F.; Medina-Guerrero, A.","Castilla-Caballero, Deyler Rafael (57024211000); Martínez-Castro, Valentina (57753440800); Colina-Márquez, José A. (23484999200); Machuca-Martínez, Fiderman (35488117500); Medina-Guerrero, Astrid (59674123400)","57024211000; 57753440800; 23484999200; 35488117500; 59674123400","Incorporation of the GRG-optimization method in the design and simulation of solar falling-film slurry photocatalytic reactors operated under turbulent regime","2025","Applied Catalysis A: General","708","","120562","","","0","0","10.1016/j.apcata.2025.120562","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015723252&doi=10.1016%2Fj.apcata.2025.120562&partnerID=40&md5=45e1c18b1a157ac51ff1b61b407aae26","Article","Final","","Scopus","2-s2.0-105015723252"
"Herrera-Acevedo, D.D.; Sierra-Porta, D.","Herrera-Acevedo, D. D. (59278790000); Sierra-Porta, D. (57191333650)","59278790000; 57191333650","Urban mobility insights: A dataset for exploring network topology and city dynamics","2025","Data in Brief","63","","112076","","","0","0","10.1016/j.dib.2025.112076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017120204&doi=10.1016%2Fj.dib.2025.112076&partnerID=40&md5=1ea5985408fa59c86c4885844f54b927","Data paper","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105017120204"
"Gómez-Vega, F.S.; Acuña, O.; Camargo, A.C.; Jimenez, J.D.; Galeano, S.M.; Franco, I.E.; Lozano, L.L.; Vásquez, J.; Puertas, E.","Gómez-Vega, F. S. (60036445200); Acuña, O. (60036445300); Camargo, Andrea C. (60035839800); Jimenez, Jeison D. (60035987100); Galeano, Sara M. (60036445400); Franco, Isabella E. (60035839900); Lozano, Laura L. (60035376700); Vásquez, Jenifer (57205400052); Puertas, Edwin (57202285682)","60036445200; 60036445300; 60035839800; 60035987100; 60036445400; 60035839900; 60035376700; 57205400052; 57202285682","Enhancing consistency in piping and instrumentation diagrams using DistilBERT and smart PID systems","2025","Systems and Soft Computing","7","","200373","","","0","0","10.1016/j.sasc.2025.200373","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012947038&doi=10.1016%2Fj.sasc.2025.200373&partnerID=40&md5=a53d4eb642384039b5808d9f3f147a04","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105012947038"
"León, D.C.; Cano-Sierra, L.; Reyes-Rivera, M.-J.; Forero-García, S.L.; García-Padilla, D.; Abitbol, P.; Lopez-Lopez, W.","León, Diana Carolina Rubio (56491243500); Cano-Sierra, Laura (59360499800); Reyes-Rivera, María Juliana (59361500800); Forero-García, Sara Lucía (59360833800); García-Padilla, Dennys (58145290800); Abitbol, Pablo (58145499200); Lopez-Lopez, Wilson (58547918000)","56491243500; 59360499800; 59361500800; 59360833800; 58145290800; 58145499200; 58547918000","“The professionals weren’t from here”: provision of mental health services in the context of the Colombian armed conflict","2025","Archives of Public Health","83","1","123","","","0","0","10.1186/s13690-025-01561-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004426668&doi=10.1186%2Fs13690-025-01561-z&partnerID=40&md5=737db3d8b328a3d7e218be8683ddb1e6","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105004426668"
"Díaz-Mendoza, C.; Mouthón-Bello, J.; Botero, C.M.; Acevedo-Barrios, R.; Gutierrez, L.","Díaz-Mendoza, Claudia (55258973100); Mouthón-Bello, Javier A. (8693393400); Botero, Camilo M. (55851674100); Acevedo-Barrios, R. L. (56674579200); Gutierrez, Leonardo A. (35186188000)","55258973100; 8693393400; 55851674100; 56674579200; 35186188000","Microbiological analysis of cigarette butts and cigarette butt fibers on a tourist beach in Cartagena, Colombia","2025","Scientific Reports","15","1","14510","","","0","1","10.1038/s41598-025-91488-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003811483&doi=10.1038%2Fs41598-025-91488-w&partnerID=40&md5=0f936df5c795b48cee4cfe804bac1dcf","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105003811483"
"Cordeiro, S.G.F.; Birro, T.V.; Quispe Rodríguez, R.Q.; de Albuquerque, E.L.; Campos, L.S.; Vivero, J.F.U.; Paroissien, É.; Aufray, M.; Lachaud, F.","Cordeiro, Sergio Gustavo Ferreira (56277871900); Birro, Thiago V. (57217165394); Quispe Rodríguez, René Quispe (55014207300); de Albuquerque, Eder Lima (57214163750); Campos, Lucas Silveira (57194159814); Vivero, Jairo Francisco Useche (60107868800); Paroissien, Éric (16231226800); Aufray, Maëlenn (15924862300); Lachaud, Frédéric A. (55942789400)","56277871900; 57217165394; 55014207300; 57214163750; 57194159814; 60107868800; 16231226800; 15924862300; 55942789400","Comparative analysis of adhesive debonding in three-point bending tests using boundary element methods: Coupled criterion versus interface damage model","2025","Engineering Analysis with Boundary Elements","180","","106474","","","0","0","10.1016/j.enganabound.2025.106474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016551055&doi=10.1016%2Fj.enganabound.2025.106474&partnerID=40&md5=c64c638aacbc0f5f7830883363d36ef5","Article","Final","","Scopus","2-s2.0-105016551055"
"Narváez, A.; Useche, J.","Narváez, Alexander J. (57224404584); Useche, J. F. (24537991200)","57224404584; 24537991200","Fast computation of 3D domain integrals in boundary element methods using meshless integration methods: Application to Poisson's equation","2025","Engineering Analysis with Boundary Elements","179","","106430","","","0","0","10.1016/j.enganabound.2025.106430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013839047&doi=10.1016%2Fj.enganabound.2025.106430&partnerID=40&md5=f48ef3ce363dbec7d0903f9bcce922e5","Article","Final","","Scopus","2-s2.0-105013839047"
